12, 0, 3, 64, 0, 1, 0, 0
12, 1, 2, 128, 1, 0, 1, 1 
13, 3, 6, 128, 1, 0, 1, 2
14, 0, 4, 64, 0, 0, 1, 0
15, 1, 5, 128, 1, 0, 0, 1 
16, 3, 2, 128, 1, 1, 1, 2
17, 0, 5, 64, 0, 0, 0, 0
18, 1, 6, 128, 1, 1, 0, 1 
19, 3, 7, 128, 1, 0, 1, 2
20, 0, 1, 64, 0, 0, 0, 0
21, 1, 5, 128, 1, 1, 0, 1 
22, 3, 2, 128, 1, 0, 1, 2
24, 0, 5, 64, 0, 0, 1, 0
24, 1, 1, 128, 1, 0, 1, 1 
30, 3, 3, 128, 1, 0, 1, 2
30, 0, 6, 64, 0, 0, 0, 0
30, 1, 12, 128, 1, 0, 0, 1 
33, 3, 2, 128, 1, 0, 1, 2
35, 0, 4, 64, 0, 0, 0, 0
36, 1, 5, 128, 1, 1, 0, 1 
37, 3, 6, 128, 1, 0, 1, 2
